,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
12/6/2013,3.39811,3.449464662,0.015112713,12/5/2013,3.55213,3.541908585
12/5/2013,3.41373,3.447879233,0.010003495,12/4/2013,3.53796,3.53966548
12/4/2013,3.39858,3.446234999,0.014022033,12/3/2013,3.48201,3.476125183
12/3/2013,3.34225,3.382855862,0.012149259,11/22/2013,3.37657,3.401088299
11/22/2013,3.23893,3.307251755,0.021093928,11/21/2013,3.39022,3.408274099
11/21/2013,3.25232,3.315186388,0.019329706,11/20/2013,3.39539,3.407659676
11/20/2013,3.25669,3.313625851,0.017482736,11/18/2013,3.28922,3.327419989
11/18/2013,3.15804,3.230416348,0.022918123,11/15/2013,3.3275,3.373038665
11/15/2013,3.19504,3.276207102,0.025404096,11/14/2013,3.3344,3.392288676
11/14/2013,3.20649,3.294369858,0.027406871,11/13/2013,3.38633,3.45478911
11/13/2013,3.25933,3.354603808,0.029231102,11/12/2013,3.42394,3.502765058
11/12/2013,3.30785,3.399876893,0.027820757,11/8/2013,3.41853,3.485409077
11/8/2013,3.30654,3.384217806,0.023492172,11/7/2013,3.29153,3.354174549
11/7/2013,3.17456,3.256172037,0.025708141,11/6/2013,3.29973,3.285172291
11/6/2013,3.17497,3.25963744,0.026667162,11/5/2013,3.31201,3.409781332
11/5/2013,3.18632,3.308148794,0.038234952,11/4/2013,3.23876,3.344702435
11/4/2013,3.10343,3.242762832,0.044896399,11/1/2013,3.25928,3.364880901
11/1/2013,3.11968,3.261684254,0.045518852,10/31/2013,3.18036,3.290822617
10/31/2013,3.04242,3.187590881,0.047715595,10/30/2013,3.16114,3.2670061
10/30/2013,3.02577,3.161626559,0.04489983,10/29/2013,3.15432,3.245838689
10/29/2013,3.01884,3.140544867,0.04031511,10/28/2013,3.15932,3.255695996
10/28/2013,3.01776,3.149958976,0.043806988,10/25/2013,3.15212,3.255941161
10/25/2013,3.00841,3.150981363,0.047390935,10/24/2013,3.17723,3.276423515
10/24/2013,3.03936,3.171000346,0.043311864,10/23/2013,3.15417,3.245911585
10/23/2013,3.01434,3.140451614,0.041837223,10/22/2013,3.18366,3.272957278
10/22/2013,3.03844,3.168660776,0.042857774,10/21/2013,3.28095,3.368693141
10/21/2013,3.15088,3.262585429,0.035452137,10/18/2013,3.25857,3.357495806
10/18/2013,3.14195,3.25147669,0.034859463,10/17/2013,3.25461,3.356356639
10/17/2013,3.14418,3.250224559,0.033727255,10/16/2013,3.34533,3.431872005
10/16/2013,3.23921,3.322271226,0.025642433,10/15/2013,3.38973,3.476850936
10/15/2013,3.27522,3.365410919,0.027537362,10/11/2013,3.34888,3.443868438
10/11/2013,3.22924,3.333551847,0.03230229,10/10/2013,3.34593,3.4495991
10/10/2013,3.22445,3.337285368,0.034993679,10/9/2013,3.33121,3.42890123
10/9/2013,3.21798,3.315899608,0.030428905,10/8/2013,3.32901,3.410440172
