"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"101603809127",0.90572400532465611595917763,158712.10,157271.57,0.99092362838120092,0.28
"101629285361",0.93642224435242845762934251,104956.69,101140.13,0.96363681057396150,0.34
"101647480747",0.73820380400554225973044464,104333.33,96588.95,0.92577271328347326,0.20
"101669944984",0.70961147441885759276479767,249732.83,249043.87,0.99724121173816033,0.28
"101698053149",1.16968696472456949659418433,94956.92,94352.41,0.99363384996059265,0.56
"101708392384",0.82212242115604386791507107,205133.33,188506.31,0.91894530255029740,0.14
"101730692420",0.93612292230382682643989176,329800.00,303625.07,0.92063392965433596,0.09
"101755189467",0.91356560898934971493227639,218257.47,202913.63,0.92969844285283798,0.20
"101761598637",0.94157511694566575551175524,176197.50,163871.57,0.93004480767320762,0.38
"101781024505",0.69059497103826966216894900,155673.24,152855.15,0.98189740253366603,0.13
"101783625772",0.84269465047859395289717300,75691.22,74491.04,0.98414373556140329,0.38
"101788266150",0.77823667973905803004755318,412290.97,405872.78,0.98443286303359978,0.23
"101836065120",0.93704925711372884541042022,260231.50,251540.95,0.96660454249389485,0.35
"101844065958",0.86156355879031029849778192,61198.25,59589.58,0.97371379083552225,0.83
"101851338438",0.88007834926209854445982911,197386.10,184740.91,0.93593677568987887,0.47
"101868522941",0.99855835811746316598365596,151594.21,151207.19,0.99744700011959559,0.52
"101879754064",0.89371729450385152923586960,86467.13,81487.35,0.94240840421094119,0.60
"101902087518",0.88752366282966185666655359,85294.00,81384.95,0.95416969540647642,0.88
"101918432181",0.87491468501164536067453548,129120.00,117291.10,0.90838832094175960,0.41
"101926446187",1.20308788598574821852731591,72558.51,71903.16,0.99096797880772358,-0.37
"101941326007",0.86172986829311190665605940,93579.10,88201.98,0.94253930631946663,0.72
"101950084177",0.90529853852375907607487334,342531.08,323512.92,0.94447756390456597,0.47
"101967136863",0.97995892335963678519020827,236516.13,234337.26,0.99078764733720275,0.22
"101970741657",0.88129240710823909531502423,97955.55,95826.46,0.97826473334078569,0.57
"101974502968",0.98543408216899584933097422,73038.31,67957.03,0.93042993464662585,0.15
"101983405279",0.89510883162371416673901473,225780.00,204070.63,0.90384724067676499,0.31
"102005828997",0.94720800445626352148990041,177492.63,175925.08,0.99116836569495871,0.27
"102029341577",0.99320441417618883811559639,427323.55,386719.38,0.90498026612387732,0.44
"102088269408",1.14171624747246369312876228,23344.51,23131.81,0.99088865005091132,0.90
"102101067944",0.98609893190345156750149949,345245.57,322805.52,0.93500264174280353,0.37
"102161688489",0.86770898507525581016894199,162073.72,145984.32,0.90072789098689164,0.36
"102183648123",1.37335573865278620988725065,179044.03,164798.51,0.92043566043503377,0.12
"102184339694",0.88350662447404110303578259,107868.25,98119.84,0.90962669738315027,0.55
"104434659783",0.68736030457612852513715550,417552.00,383303.82,0.91797864697091619,0.28
"104448508980",0.84487910142201073424445305,164615.00,160378.05,0.97426145855480970,0.35
"104466948491",0.87815517998244073748902546,326477.66,321246.73,0.98397767859522149,0.31
"104499425113",0.89933209761178955049541565,440650.74,407675.49,0.92516692471684037,-0.16
"104499773096",0.96159038313191051684237593,186331.50,180297.98,0.96761943096041195,0.32
"104521018073",0.92349016253207869974337040,104016.00,102809.12,0.98839716966620519,0.73
"104526246191",0.99056150054106047853793435,371411.37,335283.05,0.90272694128884638,0.18
"104527997694",1.05604632172815678123376141,207171.17,202898.59,0.97937657059136172,0.49
"104559401616",0.98216235893702220604295595,41195.25,38885.72,0.94393698302595566,0.48
